reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.01,3.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.01,2.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.01,1.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.01,0.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.025,4.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.025,2.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.025,1.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.025,1.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.05,4.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.05,3.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.05,2.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.05,1.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.1,5.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.1,4.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.1,2.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.1,2.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.15,6.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.15,4.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.15,3.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.15,2.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.2,6.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.2,5.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.2,3.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.2,2.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.25,7.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.25,5.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.25,4.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.25,3.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.3,8.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.3,6.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.3,5.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.3,3.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.35,8.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.35,7.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.35,5.0
2026-05-23,wk inc rsv hosp,3,2026-06-13,01,quantile,0.35,4.0
2026-05-23,wk inc rsv hosp,0,2026-05-23,01,quantile,0.4,9.0
2026-05-23,wk inc rsv hosp,1,2026-05-30,01,quantile,0.4,7.0
2026-05-23,wk inc rsv hosp,2,2026-06-06,01,quantile,0.4,6.0
