output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0025258351649686092,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.025,0.0026227278798402077,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.05,0.002719601772597584,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.1,0.002804350993055893,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.15,0.002864877332265074,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.2,0.0029132931137034026,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.25,0.0029617041937245858,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.3,0.002998009418847405,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.35,0.003034312000097098,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.4,0.0030706119377624584,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.45,0.0031190077429063814,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.5,0.003155301513331149,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.55,0.0031915926411339255,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.6,0.0032157852583549742,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.65,0.003252071982429104,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.7,0.003288356064650779,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.75,0.003336730731896719,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.8,0.0033754270614768356,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.85,0.0034231887334858317,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.9,0.003493915976173434,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.95,0.0035906207164258766,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.975,0.0036993911166096597,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.99,0.0038443813820369156,2026-03-14,wk inc rsv prop ed visits,-1,2026-03-07,13
quantile,0.01,0.0017172540635256458,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.025,0.001826011609218051,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.05,0.0019354754130729733,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.1,0.002061819427067052,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.15,0.0021318575939451513,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.2,0.002201206227559406,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
quantile,0.25,0.002263127910958899,2026-03-14,wk inc rsv prop ed visits,0,2026-03-14,13
