output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.002872275995479469,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.025,0.003005430517137903,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.05,0.0031217953885060877,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.1,0.0032777861967708687,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.15,0.003385878173557212,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.2,0.0034726259642063363,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.25,0.003541300830179315,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.3,0.0036086573642445854,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.35,0.0036691431594099997,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.4,0.003726125567854421,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.45,0.003780458404490592,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.5,0.003847757246506185,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.55,0.003907854002336352,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.6,0.003968977219752795,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.65,0.004041132506569202,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.7,0.004112331950842445,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.75,0.004184514553375531,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.8,0.004267675840271689,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.85,0.004375730731053283,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.9,0.004519497062922189,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.95,0.004680028717733892,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.975,0.0048639603773209025,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.99,0.00500855621980864,2026-02-21,wk inc rsv prop ed visits,-1,2026-02-14,01
quantile,0.01,0.0020556344283523156,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.025,0.0022638926743479334,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.05,0.0024365346683623322,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.1,0.002632303364219856,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.15,0.0027778945033439164,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.2,0.0028971017670640148,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.25,0.0029949212378107023,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.3,0.00310150054948673,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.35,0.0031850324106784443,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.4,0.0032819792842460247,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.45,0.003361267194312822,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.5,0.0034696703387681205,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.55,0.003563430864547576,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.6,0.0036428815542117877,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.65,0.0037454512368182563,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.7,0.0038792803774707185,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.75,0.0039897450139708655,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.8,0.004125235850755069,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.85,0.004301655096069532,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.9,0.0045338554637915675,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.95,0.004902972055161339,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.975,0.005243616836624898,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.99,0.005805283713006261,2026-02-21,wk inc rsv prop ed visits,0,2026-02-21,01
quantile,0.01,0.0013607459874524998,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.025,0.0015473458923911988,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.05,0.0017403659615286785,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.1,0.001972052528524283,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.15,0.0021534988420759808,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.2,0.002347941585251897,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.25,0.002510386787440062,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.3,0.002639624858944422,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.35,0.0027657932944225383,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.4,0.0029070083956777492,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.45,0.0030404327541546945,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.5,0.0031666998091835746,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.55,0.0033150161848145687,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.6,0.003460113798323247,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.65,0.003616371061215328,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.7,0.0037654629560939365,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.75,0.003975479305614765,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.8,0.004246498803155157,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.85,0.004596264577562755,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
quantile,0.9,0.0050953601462180725,2026-02-21,wk inc rsv prop ed visits,1,2026-02-28,01
