output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0019285697489520132,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.025,0.0020354301339874253,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.05,0.0021063173634390704,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.1,0.002210770214794795,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.15,0.0022861465893231816,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.2,0.0023338563223769242,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.25,0.0023814075238110647,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.3,0.0024208085281915174,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.35,0.0024632823211728685,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.4,0.0024996919365093432,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.45,0.002537112380204212,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.5,0.002578387199535525,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.55,0.0026238585728278847,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.6,0.0026596366587456404,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.65,0.0026988962270775166,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.7,0.002731711836796921,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.75,0.0027763181612315392,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.8,0.002834004585774492,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.85,0.0028940353041269316,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.9,0.002970879940532686,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.95,0.003095968452988286,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.975,0.003196331785043563,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.99,0.0033493769535660606,2026-03-21,wk inc rsv prop ed visits,-1,2026-03-14,13
quantile,0.01,0.001305002145175172,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.025,0.0013935319861358782,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.05,0.001511505593769632,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.1,0.001628660551191128,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.15,0.0017116327569201004,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.2,0.001782082110272996,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.25,0.0018436661973443341,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.3,0.0019029691232111015,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.35,0.0019599947830246994,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.4,0.0020170049062680534,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.45,0.00207001581576614,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.5,0.0021193532461563453,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.55,0.0021657621012501887,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.6,0.0022160038245495842,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.65,0.002283490832815368,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.7,0.0023665858196091436,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.75,0.002433619548019155,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.8,0.0025209552718602336,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.85,0.002630003358343672,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.9,0.0027805850719632872,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.95,0.0029912879170363085,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.975,0.0031968151674503986,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.99,0.003447433640906144,2026-03-21,wk inc rsv prop ed visits,0,2026-03-21,13
quantile,0.01,7.549715792262325e-4,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.025,9.054727755101764e-4,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.05,0.0010014816212508867,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.1,0.0011344356872254656,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.15,0.0012348881459807027,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.2,0.001318213171322274,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.25,0.0013883093009471983,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.3,0.001457686522496436,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.35,0.0015413574213725138,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.4,0.0016180461477098085,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.45,0.0016926521020821904,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.5,0.001771887423253465,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.55,0.001847970539280983,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.6,0.0019268407685942685,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.65,0.002011842533380357,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.7,0.002098919598846524,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.75,0.0022053399655104088,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.8,0.0023419929354388433,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.85,0.002503649505101502,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.9,0.00277505866659632,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.95,0.003159337792835572,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.975,0.0035182942294289237,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.99,0.004023981463439774,2026-03-21,wk inc rsv prop ed visits,1,2026-03-28,13
quantile,0.01,79,2026-03-21,wk inc rsv hosp,-1,2026-03-14,13
quantile,0.025,86,2026-03-21,wk inc rsv hosp,-1,2026-03-14,13
quantile,0.05,91,2026-03-21,wk inc rsv hosp,-1,2026-03-14,13
