output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
sample,WY_1,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_3,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_14,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_23,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_34,8,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_65,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_90,14,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_103,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_107,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_111,9,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_120,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_121,8,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_134,8,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_136,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_146,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_156,7,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_168,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_176,11,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_177,9,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_181,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_189,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_191,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_204,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_206,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_208,7,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_235,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_241,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_254,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_263,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_269,9,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_290,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_315,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_327,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_332,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_337,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_350,7,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_373,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_384,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_386,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_389,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_395,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_411,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_419,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_421,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_459,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_484,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_486,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_523,9,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_529,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_538,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_545,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_552,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_562,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_565,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_568,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_574,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_588,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_589,8,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_594,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_608,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_611,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_632,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_642,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_645,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_649,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_678,0,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_685,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_693,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_696,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_702,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_727,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_728,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_749,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_757,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_758,19,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_777,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_793,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_806,1,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_808,8,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_817,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_818,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_834,16,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_847,7,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_859,6,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_864,7,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_866,5,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_881,9,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_891,3,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_899,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_902,4,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
sample,WY_913,2,2026-05-23,wk inc rsv hosp,0,2026-05-23,56
