reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.01,1.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.025,2.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.05,2.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.1,3.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.15,4.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.2,5.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.25,5.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.3,5.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.35,6.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.4,6.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.45,6.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.5,7.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.55,7.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.6,7.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.65,8.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.7,8.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.75,8.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.8,9.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.85,10.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.9,12.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.95,13.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.975,18.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,01,quantile,0.99,34.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.01,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.025,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.05,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.1,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.15,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.2,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.25,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.3,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.35,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.4,0.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.45,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.5,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.55,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.6,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.65,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.7,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.75,1.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.8,1.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.85,1.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.9,2.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.95,2.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.975,3.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,02,quantile,0.99,4.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.01,5.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.025,7.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.05,9.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.1,12.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.15,13.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.2,14.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.25,14.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.3,15.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.35,16.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.4,16.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.45,16.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.5,17.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.55,17.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.6,18.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.65,19.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.7,19.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.75,19.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.8,20.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.85,22.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.9,27.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.95,29.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.975,36.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,04,quantile,0.99,51.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.01,0.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.025,1.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.05,1.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.1,2.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.15,3.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.2,3.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.25,4.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.3,5.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.35,5.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.4,5.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.45,6.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.5,6.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.55,6.0
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.6,6.5
2026-05-30,wk inc rsv hosp,0,2026-05-30,05,quantile,0.65,7.0
