reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.01,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.025,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.05,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.1,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.15,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.2,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.25,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.3,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.35,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.4,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.45,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.5,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.55,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.6,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.65,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.7,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.75,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.8,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.85,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.9,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.95,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.975,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,01,quantile,0.99,18
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.01,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.025,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.05,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.1,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.15,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.2,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.25,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.3,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.35,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.4,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.45,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.5,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.55,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.6,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.65,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.7,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.75,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.8,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.85,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.9,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.95,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.975,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,02,quantile,0.99,8
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.01,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.025,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.05,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.1,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.15,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.2,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.25,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.3,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.35,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.4,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.45,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.5,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.55,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.6,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.65,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.7,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.75,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.8,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.85,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.9,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.95,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.975,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,04,quantile,0.99,48
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.01,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.025,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.05,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.1,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.15,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.2,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.25,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.3,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.35,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.4,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.45,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.5,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.55,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.6,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.65,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.7,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.75,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.8,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.85,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.9,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.95,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.975,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,05,quantile,0.99,22
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.01,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.025,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.05,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.1,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.15,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.2,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.25,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.3,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.35,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.4,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.45,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.5,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.55,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.6,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.65,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.7,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.75,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.8,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.85,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.9,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.95,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.975,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,06,quantile,0.99,206
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.01,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.025,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.05,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.1,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.15,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.2,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.25,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.3,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.35,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.4,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.45,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.5,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.55,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.6,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.65,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.7,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.75,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.8,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.85,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.9,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.95,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.975,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,08,quantile,0.99,41
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.01,47
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.025,47
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.05,47
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.1,47
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.15,47
2026-04-18,-1,wk inc rsv hosp,2026-04-11,09,quantile,0.2,47
