reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.01,5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.025,6.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.05,9.25
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.1,10
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.15,11.25
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.2,12.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.25,13.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.3,14
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.35,15
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.4,15.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.45,16.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.5,17
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.55,18.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.6,18.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.65,19.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.7,20.25
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.75,21.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.8,23
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.85,25.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.9,27.75
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.95,32.5
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.975,36
2026-04-18,01,0,wk inc rsv hosp,2026-04-18,quantile,0.99,40
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.01,3.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.025,5.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.05,6.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.1,7.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.15,8.75
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.2,10.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.25,10.75
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.3,11.75
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.35,12.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.4,12.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.45,13.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.5,14.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.55,15.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.6,16
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.65,16.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.7,17
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.75,18.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.8,19.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.85,21.75
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.9,24.25
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.95,29.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.975,33.5
2026-04-18,01,1,wk inc rsv hosp,2026-04-25,quantile,0.99,38
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.01,2
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.025,2
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.05,3
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.1,4
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.15,5
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.2,6
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.25,6
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.3,7
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.35,7
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.4,8
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.45,9
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.5,10
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.55,10
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.6,11
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.65,12
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.7,13
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.75,15
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.8,15.5
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.85,17.5
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.9,20
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.95,23.5
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.975,27
2026-04-18,01,2,wk inc rsv hosp,2026-05-02,quantile,0.99,34
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.01,1
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.025,1
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.05,2
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.1,2
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.15,3
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.2,4
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.25,4
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.3,5
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.35,5
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.4,6
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.45,6
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.5,7
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.55,7
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.6,8
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.65,9
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.7,10
2026-04-18,01,3,wk inc rsv hosp,2026-05-09,quantile,0.75,11
