reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.01,68.40508978333327
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.025,68.40508978333327
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.05,68.40508978333327
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.1,153.367769748549
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.15,157.05625184623534
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.2,169.1477373681176
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.25,196.8984701710001
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.3,197.60622616441185
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.35,202.32147929629423
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.4,221.6773733674118
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.45,226.6398875624941
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.5,245.558496
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.55,254.0580849375059
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.6,259.0205991325882
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.65,278.37649320370576
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.7,283.09174633558814
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.75,283.7995023289999
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.8,311.5502351318824
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.85,323.64172065376465
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.9,327.330202751451
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.95,412.2928827166667
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.975,412.2928827166667
2026-04-04,0,wk inc rsv hosp,2026-04-04,06,quantile,0.99,412.2928827166667
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.01,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.025,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.05,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.1,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.15,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.2,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.25,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.3,17.27754711917649
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.35,19.75230714826707
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.4,24.71213796453922
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.45,25.8208451603941
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.5,27.8446788375
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.55,28.779519214605905
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.6,29.888226410460785
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.65,34.848057226732934
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.7,37.32281725582352
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.75,77.56513297397059
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.8,92.24938484659022
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.85,109.75595516023716
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.9,117.03646535416668
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.95,117.03646535416668
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.975,117.03646535416668
2026-04-04,0,wk inc rsv hosp,2026-04-04,08,quantile,0.99,117.03646535416668
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.01,43.459494441666656
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.025,43.459494441666656
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.05,43.459494441666656
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.1,49.92589213243247
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.15,51.335306167758816
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.2,52.39381071957098
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.25,56.65936667316941
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.3,57.50975434542941
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.35,60.5775318672845
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.4,63.86286771497223
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.45,65.2133595848196
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.5,71.37312860833333
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.55,73.57681416518038
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.6,74.92730603502775
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.65,78.21264188271547
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.7,81.28041940457058
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.75,82.13080707683056
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.8,86.396363030429
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.85,87.45486758224116
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.9,88.86428161756751
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.95,95.33067930833332
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.975,95.33067930833332
2026-04-04,0,wk inc rsv hosp,2026-04-04,09,quantile,0.99,95.33067930833332
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.01,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.025,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.05,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.1,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.15,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.2,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.25,0.0
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.3,8.07368523884712
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.35,21.511103031897985
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.4,26.65659150047061
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.45,40.11596618225095
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.5,46.48546891666665
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.55,52.393318317749056
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.6,65.8526929995294
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.65,70.99818146810202
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.7,84.43559926115289
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.75,94.70095796733337
2026-04-04,0,wk inc rsv hosp,2026-04-04,13,quantile,0.8,100.28792203287068
